cerl_control_number|title|publication_year|language_primary|publication_place|publication_country|publisher
22289|Shakespeare Midsummer night's dream|1802|English|London|England|Published by J. Heath, ... & G. & J. Robinson,
22291|Two gentlemen of Verona|1802|English|London|England|Publish'd by J. Heath, ... & G. &. J. Robinson,
22292|Love's labour's lost|1802|English|London|England|Published by J. Heath, ... and G. & J. Robinson,
22300|Merchant of Venice|1803|English|London|England|Published by J. Heath, ... and G. & J. Robinson,
22301|The taming of the shrew|1803|English|London|England|Published by J. Heath, ... and G. & J. Robinson,
22302|Tempest|1803|English|London|England|Published by J. Heath, ... & G. & J. Robinson,
22303|Twelfth night, or, What you will|1802|English|London|England|Published by J. Heath, ... and G. & J. Robinson,
22304|King John|1802|English|London|England|Published by J. Heath, ... and G. & J. Robinson,
22305|Comedy of errors|1802|English|London|England|Published by J. Heath, ... and G. & J. Robinson,
22909|Hamlet, Prince of Denmark|1827|English|Paris|France|Printed for Madame Vergne, ...;Printed by Marchand Dubreuil,
22933|Merchant of Venice|1828|English|London|England|Published by Truchy,
22936|Romeo and Juliet|1827|English|London|England|Published by Truchy, ..., Printed by J. Smith,
22937|Othello|1828|English|Paris|France|Truchy's French and English Library, ..., Imprimerie de Gœtschy
22941|King Henry VIII|1825|English|London|England|John Cumberland, ...;T. Dolby, printer,
23290|The works of William Shakespeare|1795|English|Edinburgh|Scotland|Printed for Bell & Bradfute, J. Dickson, W. Creech, J.& J. Fairbairn, and T. Duncan, booksellers
24682|The merry wives of Windsor|1734|English|London|England|Printed: and sold by the booksellers of London and Westminster
24721|Hamlet, Prince of Denmark|1734|English|London|England|NA
24723|Hamlet, Prince of Denmark|1734|English|London|England|NA
25277|Othello|1807|English|Manchester|England|Printed and sold by R. & W. Dean, ... Sold also by Champante & Whitrow, B. Crosby & Co., and Longman, Hurst, Rees, & Orme, London; Wilson & Spence, York; and all other booksellers
30927|Alt-englisches Theater oder Supplemente zum Shakspear|1811|German|Berlin|Germany|In der Realschulbuchhandlung
62796|Othello, the Moor of Venice|1725|English|Dublin|Ireland|NA
62881|Hamlet|1777|Danish|Copenhagen|Denmark|Trykt hos M. Hallager
63437|Shakspeare's tragedy of Antony and Cleopatra|1813|English|London|England|J. Barker
63603|Hamlet|1805|English|London|England|Printed by and for J. Roach, at the Britannia Printing Office
63897|Othello, the Moor of Venice|1724|English|London|England|Printed by John Darby in Bartholomew-Close, for Mary Poulson, and sold by A. Bettesworth in Pater-noster-Row [etc.]
64356|Alt-englisches Theater|1811|German|Berlin|Germany|in der Realschulbuchhandlung
67692|The works of Shakespear .|1744|English|Oxford|England|Printed at the Theatre
68763|Konung Lear, tragedi af Shakspeare. Öfwersättning. Upsala, Em. Bruzelius. 1818|1818|Swedish|Uppsala|Sweden|Bruzelius)
69204|Othello, the moor of Venice|1808|English|London|England|Printed for Longman, Hurst, Rees, Orme, and Brown
69283|King Henry IV|1808|English|London|England|Printed for Longman, Hurst, Rees and Orme
71884|The tragicall historie of Hamlet, Prince of Denmarke|1604|English|London|England|printed by I.R. for N.L. and are to be sold at his shoppe vnder Saint Dunstons Church in Fleetstreet
75848|Hamlet, Prince of Denmark|1737|English|London|England|Printed for W. Feales
76966|Catharine and Petruchio|1756|English|London|England|Printed for J. and R. Tonson [etc.]
77724|The Tragedy of Hamlet, Prince of Denmark|1637|English|London|England|Printed by R. Young for John Smethwicke, and are to be sold at his shop in Saint Dunstans church-yard in Fleet-street, under the Diall
84400|Sogno di una notte di mezza estate dramma di G. Shakspeare recato in versi italiani da Michele Leoni di Parma|1818|Italian|Torino|Italy|co' tipi della vedova Pomba e figli
91114|Prolegomena to the dramatick writings of Will. Shakspere. Volume the first [-the second|1788|English|London|England|printed for, and under the direction of, John Bell ... Strand
129371|The works of Mr. William Shakespear|1710|English|London|England|printed for E. Curll, and E. Sanger
132178|Willhelm Shakespears Schauspiele|1778|German|Mannheim|Germany|bey Franz Levrault, der königlichen Intendanz und bischöfl. Universit. Buchdr
132179|Hamlet, Prinz von Dännemark|1778|German|Hamburg|Germany|Gedruckt bey J. M. Michaelsen, und im Verlag der Theatral-Direcktion
132180|König Lear|1778|German|Hamburg|Germany|gedruckt bey J.M. Michaelsen
133907|The dramatic works of Shakspeare|1791|English|London|England|Printed by W. Bulmer & Co. Shakspeare Printing-Office, for John and Josiah Boydell, and George Nicol; from the types of W. Martin
143951|THE PLAYS OF WILLIAM SHAKESPEARE. VOLUME the FIRST, CONTAINING, The TEMPEST. A MIDSUMMER-NIGHT's DREAM, The TWO GENTLEMEN OF VERONA|1766|English|Dublin|Ireland|Printed for A. Leathley ; C. Wynne ; P. Wilson ; J. Exshaw ; H. Saunders ; J. Potts ; S. Watson ; J. Mitchell ; and J. Williams
143953|THE PLAYS OF WILLIAM SHAKESPEARE. VOLUME the SECOND, CONTAINING, MEASURE FOR MEASURE. The MERCHANT OF VENICE. AS YOU LIKE IT. LOVE'S LABOUR'S LOST|1766|English|Dublin|Ireland|Printed for A. Leathley ; C. Wynne ; P. Wilson ; J. Exshaw ; H. Saunders ; J. Potts ; S. Watson ; J. Mitchell ; and J. Williams
143961|THE PLAYS OF WILLIAM SHAKESPEARE. VOLUME the THIRD, CONTAINING, The WINTER's TALE. TWELFTH-NIGHT: or, WHAT YOU WILL. The MERRY WIVES of WINDSOR. The TAMING of the SHREW|1756|English|Dublin|Ireland|Printed for A. Leathley ; C. Wynne ; P. Wilson ; J. Exshaw ; H. Saunders ; James Potts ; S. Watson ; J. Mitchell ; J. Williams
143962|THE PLAYS OF WILLIAM SHAKESPEARE. VOLUME the FOURTH, CONTAINING, The COMEDY of ERRORS. MUCH ADO about NOTHING. ALL's WELL, that ENDS WELL. The LIFE and DEATH of KING JOHN|1766|English|Dublin|Ireland|Printed for A. Leathley ; C. Wynne ; P. Wilson ; J. Exshaw ; H. Saunders ; James Potts ; S. Watson ; J. Mitchell ; and J. Williams
143966|THE PLAYS OF WILLIAM SHAKESPEARE. VOLUME the FIFTH, CONTAINING, KING RICHARD II. THE FIRST PART OF KING HENRY IV. THE SECOND PART OF KING HENRY IV|1766|English|Dublin|Ireland|Printed for A. Leathley ; C. Wynne ; P. Wilson ; J. Exshaw ; H. Saunders ; James Potts ; S. Watson ; J. Mitchell ; J. Williams
143967|THE PLAYS OF WILLIAM SHAKESPEARE. VOLUME the SIXTH, CONTAINING, KING HENRY V. THE FIRST PART OF KING HENRY VI. THE SECOND PART OF KING HENRY VI. THE THIRD PART OF KING HENRY VI|1766|English|Dublin|Ireland|Printed for A. Leathley ; C. Wynne ; P. Wilson ; J. Exshaw ; H. Saunders ; James Potts ; S. Watson ; J. Mitchell ; J. Williams
143969|THE PLAYS OF WILLIAM SHAKESPEARE. VOLUME the SEVENTH, CONTAINING, The LIFE and DEATH of RICHARD the THIRD. The LIFE of KING HENRY the EIGHT. The LIFE and DEATH of KING LEAR|1766|English|Dublin|Ireland|Printed for A. Leathley ; C. Wynne ; P. Wilson ; J. Exshaw ; H. Saunders ; J. Potts ; S. Watson ; J. Mitchell ; and J. Williams
143971|THE PLAYS OF WILLIAM SHAKESPEARE. VOLUME the EIGHTH, CONTAINING, TIMON OF ATHENS. TITUS ANDRONICUS. MACBETH. C. MMARCIUS CORIOLANUS|1766|English|Dublin|Ireland|Printed for A. Leathley ; C. Wynne ; P. Wilson ; J. Exshaw ; H. Saunders ; J. Potts ; S. Watson ; J. Mitchell ; and J. Williams
143972|THE PLAYS OF WILLIAM SHAKESPEARE. VOLUME the NINTH, CONTAINING, JULIUS CAESAR. ANTONY AND CLEOPATRA. CYMBELINE. TROILUS AND CRESSIDA|1766|English|Dublin|Ireland|Printed for A. Leathley ; C. Wynne ; P. Wilson ; J. Exshaw ; H. Saunders ; James Potts ; S. Watson ; J. Mitchell ; J. Williams
143973|THE PLAYS OF WILLIAM SHAKESPEARE. VOLUME the TENTH, CONTAINING, ROMEO and JULIET. HAMLET, PRINCE of DENMARK. OTHELLO, the MOOR of VENICE|1766|English|Dublin|Ireland|Printed for A. Leathley ; C. Wynne ; P. Wilson ; J. Exshaw ; H. Saunders ; James Potts ; S. Watson ; J. Mitchell ; and J. Williams
144214|THE PLAYS OF William Shakspeare, COMPLETE IN EIGHT VOLUMES. VOLUME I., CONTAINING THE LIFE OF SHAKSPEARE, AS YOU LIKE IT, TEMPEST, WINTER'S TALE, TWO GENTLEMEN OF VERONA. THE ENGRAVINGS TO THIS VOLUME ARE, A HEAD OF SHAKSPEARE, TWO SCENES TO EACH PLAY, AND TWO ALLEGORIES. ALLEGORIES. I. THE COMIC MUSE DICTATING TO SHAKSPEARE, AND FANCY STREWING FLOWERS OVER HIS PRODUCTIONS. 2. SHAKSPEARE'S COMIC CHARACTERS PERSONIFIED BY INFANTS|1791|English|London|England|Printed for Bellamy and Robarts, No. 138, Fleet-Street, and at No.4, Peterborough-court, Fleet-Street
144217|THE PLAYS OF William Shakspeare, COMPLETE IN EIGHT VOLUMES. VOLUME II., CONTAINING MERRY WIVES OF WINDSOR, MEASURE FOR MEASURE, TWELFTH NIGHT, LOVE'S LABOURS LOST, MUCH ADO ABOUT NOTHING. THE ENGRAVINGS TO THIS VOLUME ARE, TWO SCENES TO EACH PLAY, AND TWO ALLEGORIES. ALLEGORIES. 1. AN INFANT SHAKSPEARE IN THE REALMS OF FANCY. 2. THE COMIC MUSE SURROUNDED BY THE VISIONS OF FANCY|1791|English|London|England|Printed for Bellamy and Robarts, No. 138, Fleet-Street, and at No.4, Peterborough-court, Fleet-Street
144218|THE PLAYS OF William Shakspeare, COMPLETE IN EIGHT VOLUMES. VOLUME III., CONTAINING MIDSUMMER NIGHT'S DREAM, COMEDY OF ERRORS, MERCHANT OF VENICE, TAMING OF THE SHREW, ALL'S WELL THAT ENDS WELL. THE ENGRAVINGS TO THIS VOLUME ARE, TWO SCENES TO EACH PLAY, AND TWO ALLEGORIES. ALLEGORIES. 1. FAIRIES ADORNING SHAKSPEARE'S GRAVE. 2. FICTION ATTEENDING SHAKSPEARE'S DREAMS|1791|English|London|England|Printed for Bellamy and Robarts, No. 138, Fleet-Street, and at No.4, Peterborough-court, Fleet-Street
144219|THE PLAYS OF William Shakspeare, COMPLETE IN EIGHT VOLUMES. VOLUME IV., CONTAINING TIMON OF ATHENS, TROILUS AND CRESSIDA, TITUS ANDRONICUS, JULIUS CAESAR. THE ENGRAVINGS TO THIS VOLUME ARE, TWO SCENES TO EACH PLAY, AND TWO ALLEGORIES. ALLEGORIES. 1. BRITANNIA CROWNING SHAKSPEARE. 2. SHAKSPEARE HONOURED BY THE MUSES|1791|English|London|England|Printed for Bellamy and Robarts, No. 138, Fleet-Street, and at No.4, Peterborough-court, Fleet-Street
144220|THE PLAYS OF William Shakspeare, COMPLETE IN EIGHT VOLUMES. VOLUME V., CONTAINING ANTHONY AND CLEOPATRA, CORIOLANUS, CYMBELINE, MACBETH. THE ENGRAVINGS TO THIS VOLUME ARE, TWO SCENES TO EACH PLAY, AND TWO ALLEGORIES. ALLEGORIES. 1. FANCY DECORATING THE TOMB OF SHAKSPEARE. 2. SHAKSPEARE HOLDING UP THE MIRROR TO DIGNIFIED GUILT|1791|English|London|England|Printed for Bellamy and Robarts, No. 138, Fleet-Street, and at No.4, Peterborough-court, Fleet-Street
144221|THE PLAYS OF William Shakspeare, COMPLETE IN EIGHT VOLUMES. VOLUME VI., CONTAINING KING JOHN, RICHRARD II. HENRY IV. PART I. HENRY IV. PART II. HENRY V. THE ENGRAVINGS TO THIS VOLUME ARE, TWO SCENES TO EACH PLAY, AND TWO ALLEGORIES. ALLEGORIES. 1. YOUTH ATTENDING THE DICTATES OF SHAKSPEARE. 2. THE TRAGIC AND COMIC MUSE ADORNING THE STATUE OD SHAKSPEARE|1791|English|London|England|Printed for Bellamy and Robarts, No. 138, Fleet-Street, and at No.4, Peterborough-court, Fleet-Street
